地名,センター,もえるごみ,もえないごみ,容器包装・資源ごみ,粗大ごみ
清水,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150417 20150515 20150619 20150717 20150821 20150918 20151016 20151120 20151218 20150122 20150219 20150318,水1,水3
庄,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150417 20150515 20150619 20150717 20150821 20150918 20151016 20151120 20151218 20150122 20150219 20150318,水1,水3
加賀爪,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150417 20150515 20150619 20150717 20150821 20150918 20151016 20151120 20151218 20150122 20150219 20150318,水1,水3
横浜,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150417 20150515 20150619 20150717 20150821 20150918 20151016 20151120 20151218 20150122 20150219 20150318,水1,水3
杉瀬,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150417 20150515 20150619 20150717 20150821 20150918 20151016 20151120 20151218 20150122 20150219 20150318,水1,水3
倉見,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150417 20150515 20150619 20150717 20150821 20150918 20151016 20151120 20151218 20150122 20150219 20150318,水1,水3
田屋,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150417 20150515 20150619 20150717 20150821 20150918 20151016 20151120 20151218 20150122 20150219 20150318,水1,水3
岩崎,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150417 20150515 20150619 20150717 20150821 20150918 20151016 20151120 20151218 20150122 20150219 20150318,水1,水3
七黒,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150417 20150515 20150619 20150717 20150821 20150918 20151016 20151120 20151218 20150122 20150219 20150318,水1,水3
鳥越,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150417 20150515 20150619 20150717 20150821 20150918 20151016 20151120 20151218 20150122 20150219 20150318,水1,水3
山北,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150417 20150515 20150619 20150717 20150821 20150918 20151016 20151120 20151218 20150122 20150219 20150318,水1,水3
蓮花寺,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150417 20150515 20150619 20150717 20150821 20150918 20151016 20151120 20151218 20150122 20150219 20150318,水1,水3
宮田,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150417 20150515 20150619 20150717 20150821 20150918 20151016 20151120 20151218 20150122 20150219 20150318,水1,水3
鳥屋尾,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150417 20150515 20150619 20150717 20150821 20150918 20151016 20151120 20151218 20150122 20150219 20150318,水1,水3
大畠,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150417 20150515 20150619 20150717 20150821 20150918 20151016 20151120 20151218 20150122 20150219 20150318,水1,水3
莇谷,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150417 20150515 20150619 20150717 20150821 20150918 20151016 20151120 20151218 20150122 20150219 20150318,水1,水3
笠池ヶ原,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150417 20150515 20150619 20150717 20150821 20150918 20151016 20151120 20151218 20150122 20150219 20150318,水1,水3
彦太郎畠,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150417 20150515 20150619 20150717 20150821 20150918 20151016 20151120 20151218 20150122 20150219 20150318,水1,水3
吉倉,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150417 20150515 20150619 20150717 20150821 20150918 20151016 20151120 20151218 20150122 20150219 20150318,水1,水3
市谷,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150417 20150515 20150619 20150717 20150821 20150918 20151016 20151120 20151218 20150122 20150219 20150318,水1,水3
津幡,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
緑が丘,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
竹橋,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
富田,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
刈安,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
越中坂,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
坂戸,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
上野,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
河内,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
九折,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
俱利伽羅,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
山森,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
原,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
七野,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
東荒屋,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
明神,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
井野河内,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
大坪,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
別所,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
下藤又,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
仮生,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
材木,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
下中,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
朝日畑,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
相窪,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
南横根,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
北横根,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
大窪,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
上藤又,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
常徳,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
舟尾,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
旭山,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
南中条,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150404 20150502 20150606 20150704 20150801 20150905 20151003 20151107 20151205 20150109 20150206 20150305,水2,水4
北中条,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150404 20150502 20150606 20150704 20150801 20150905 20151003 20151107 20151205 20150109 20150206 20150305,水2,水4
太田,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150404 20150502 20150606 20150704 20150801 20150905 20151003 20151107 20151205 20150109 20150206 20150305,水2,水4
